Date,Adj Close,Close,High,Low,Open,Volume,MA20,MA50,MA100,MA200,Daily_Return,Volatility,RSI,MACD,MACD_Signal,BB_High,BB_Low
2015-10-16,24.883129119873047,27.76000022888184,28.0,27.63249969482422,27.94499969482422,156930400,27.942374992370606,28.08689998626709,29.780449962615968,30.33233744621277,-0.00733058904299988,0.013303474010352069,47.247908810459485,-0.15513857869990488,-0.1820249381138792,28.85890857788583,27.02584140685538
2015-10-19,25.037750244140625,27.9325008392334,27.9375,27.52750015258789,27.700000762939453,119036800,27.898875045776368,28.067950019836427,29.730324974060057,30.335337448120118,0.006213998880737925,0.012851172681881105,49.2810384895373,-0.13525129104697697,-0.17267020870049876,28.726233133148167,27.07151695840457
2015-10-20,25.49489974975586,28.4424991607666,28.542499542236328,27.70499992370605,27.834999084472656,195871200,27.90349998474121,28.038199996948244,29.689049968719484,30.34473744392395,0.018258240623298283,0.013109877987772668,54.82461511651507,-0.07744513072881887,-0.1536251931061628,28.741854603310642,27.065145366171777
2015-10-21,25.492664337158203,28.440000534057617,28.895000457763672,28.424999237060547,28.5,167180800,27.896500015258788,28.039550018310546,29.647099990844726,30.35411244392395,-8.78483530881713e-05,0.012978424862804453,54.79301692474325,-0.031472159040621506,-0.12919458629305455,28.714227722130186,27.07877230838739
2015-10-22,25.8825798034668,28.875,28.875,28.524999618530277,28.582500457763672,166616400,27.90275001525879,28.0408500289917,29.61094997406006,30.36379994392395,0.015295339584169731,0.013372472692030938,59.201625382861025,0.03960602015255077,-0.0954344650039335,28.74792594476827,27.05757408574931
2015-10-23,26.68482780456543,29.770000457763672,29.8075008392334,29.082500457763672,29.174999237060547,237467600,27.957375049591064,28.060500030517577,29.583349990844727,30.372787446975707,0.03099568684895826,0.015001031255842004,66.45092118885171,0.16623874953971907,-0.04309982209520299,29.088597477093767,26.82615262208836
2015-10-26,25.833271026611328,28.81999969482422,29.53249931335449,28.729999542236328,29.520000457763672,265335200,27.992875003814696,28.057100028991698,29.54814998626709,30.37687494277954,-0.03191134525803152,0.01612928877476921,55.23247208993333,0.1877744310810492,0.0030750285400474447,29.18400410548203,26.801745902147363
2015-10-27,25.66969490051269,28.637500762939453,29.13500022888184,28.497499465942383,28.850000381469727,279537600,28.061500072479248,28.044050025939942,29.512900009155274,30.383499946594238,-0.006332371055421615,0.014484354962871359,53.368506371749824,0.1879489171402149,0.040049806260080936,29.23499861468875,26.888001530269747
2015-10-28,26.727399826049805,29.8174991607666,29.825000762939453,29.01499938964844,29.232500076293945,342205600,28.173624992370605,28.057900009155272,29.491574993133543,30.394812440872194,0.041204657054229266,0.01679211298957188,62.241397040284596,0.2800746810629242,0.0880547812206496,29.550643903606726,26.796606081134485
2015-10-29,27.00975608825684,30.13249969482422,30.17250061035156,29.5674991607666,29.674999237060547,204909200,28.310499954223634,28.085499992370604,29.474349994659423,30.408224935531617,0.010564284159420456,0.016659860273044187,64.19973054882385,0.37418949960453673,0.14528172489742702,29.88130511336242,26.739694795084848
2015-10-30,26.77894592285156,29.875,30.30500030517578,29.862499237060547,30.247499465942383,197461200,28.424499988555908,28.119749984741212,29.45089998245239,30.424074935913087,-0.0085455802682195,0.016914770768315924,61.396465144399166,0.42312062679954465,0.20084950527785056,30.09859337361422,26.750406603497595
2015-11-02,27.155412673950195,30.295000076293945,30.34000015258789,29.90250015258789,30.200000762939453,128813200,28.554500007629393,28.196849975585938,29.432374992370605,30.443062438964844,0.014058579959630002,0.017059224449385013,64.14639240922943,0.4901393721205096,0.2587074786463824,30.37886527313799,26.730134742120796
2015-11-03,27.46690559387207,30.64249992370605,30.872499465942383,30.174999237060547,30.19750022888184,182076000,28.695250034332275,28.29409996032715,29.420874996185304,30.460374937057495,0.011470534627396445,0.017127702156119674,66.28627898314352,0.5647820877966439,0.3199224004764347,30.699073652349867,26.691426416314684
2015-11-04,27.33917236328125,30.5,30.95499992370605,30.405000686645508,30.78249931335449,179544400,28.835500049591065,28.3853999710083,29.40857500076294,30.475937433242798,-0.004650401372631063,0.017124399153994007,64.5840122505989,0.6054590695515749,0.37702973429146275,30.930244225948428,26.740755873233702
